login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
shyamseshadri,shyamseshadri/angularjs.org,2012-10-22T04:49:12Z,0,0,JavaScript,True,True,
shyamseshadri,shyamseshadri/builder,2021-09-15T17:09:17Z,0,0,,True,True,mit
shyamseshadri,shyamseshadri/code.angularjs.org,2012-10-23T06:51:55Z,0,0,JavaScript,True,True,
shyamseshadri,shyamseshadri/dashboard.angularjs.org,2012-10-27T04:03:02Z,0,0,JavaScript,True,True,
shyamseshadri,shyamseshadri/demo-ideas-app,2019-09-05T03:09:35Z,0,0,TypeScript,True,True,
shyamseshadri,shyamseshadri/NativeScript,2018-10-05T13:17:16Z,2,2,TypeScript,True,True,apache-2.0
shyamseshadri,shyamseshadri/node-workshop,2019-06-19T17:51:13Z,0,0,JavaScript,True,True,
shyamseshadri,shyamseshadri/nodejs-workshop,2014-11-25T10:50:49Z,0,0,JavaScript,True,True,
alokproc,alokproc/-Board-Infinity,2020-06-07T10:21:16Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/10-days-NLP-blog-series,2024-03-16T12:44:52Z,0,0,,True,True,
alokproc,alokproc/10-steps-to-become-a-data-scientist,2019-06-24T18:00:07Z,0,0,Jupyter Notebook,True,True,apache-2.0
alokproc,alokproc/100days,2019-06-10T02:48:56Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/20-ML-Algorithms-from-start-to-Finish,2019-06-24T17:55:18Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/20161202_ANN_basics,2019-09-08T06:29:15Z,0,0,,True,True,
alokproc,alokproc/26-Weeks-Of-Data-Science,2021-08-07T08:07:11Z,0,0,,True,True,
alokproc,alokproc/4._Econometrics_and_Time_Series,2021-04-03T10:03:06Z,0,0,,True,True,
alokproc,alokproc/50-Days-of-ML,2022-11-13T06:13:18Z,0,0,,True,True,
alokproc,alokproc/A-Comprehensive-Deep-Learning-Workflow-with-Python,2019-06-24T18:01:39Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/A-Comprehensive-ML-Workflow-for-Regression-Methods,2019-06-24T17:54:30Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/a-week-in-wild-ai,2021-05-19T17:01:59Z,0,0,,True,True,mit
alokproc,alokproc/a3c_trading,2021-07-04T18:01:59Z,0,0,,True,True,
